STATION NAME,DATE,DX32,DX90,EMNT,EMSN,EMXT,PRCP,SNOW,TAVG,TMAX,TMIN
TROY LOCK AND DAM NY,1990-03,5,0,8,3,81,3.84,3,37.4,48.2,26.6
TROY LOCK AND DAM NY,1990-04,0,0,26,0,88,3.91,0,48.9,58.7,39.1
TROY LOCK AND DAM NY,1990-05,0,0,37,0,80,5.59,0,56.2,66.2,46.2
TROY LOCK AND DAM NY,1990-06,0,0,44,0,87,3.05,0,67.9,78.1,57.6
TROY LOCK AND DAM NY,1990-07,0,8,54,0,97,2.18,0,74,84.3,63.7
TROY LOCK AND DAM NY,1990-09,0,0,38,0,86,1.83,0,62.7,73.7,51.7
TROY LOCK AND DAM NY,1990-10,0,0,28,0,85,3.03,0,54.2,64.3,44.1
TROY LOCK AND DAM NY,1990-12,6,0,15,2,66,3.56,5,34.6,42.3,27
TROY LOCK AND DAM NY,1991-01,11,0,-2,8,50,1.43,9,24.5,33.6,15.4
TROY LOCK AND DAM NY,1991-03,0,0,20,1,65,2.07,1,38.1,46.9,29.3
TROY LOCK AND DAM NY,1991-04,0,0,26,0,86,3.14,0,50.5,62,39.1
TROY LOCK AND DAM NY,1991-05,0,0,39,0,89,3.32,0,63.4,76.8,50
TROY LOCK AND DAM NY,1991-06,0,5,46,0,96,1.44,0,70.5,83.2,57.8
TROY LOCK AND DAM NY,1991-07,0,7,53,0,98,2.19,0,73.2,84.4,62
TROY LOCK AND DAM NY,1991-08,,,,0,,4.43,0,,,
TROY LOCK AND DAM NY,1991-10,0,0,30,0,79,3.77,0,53.5,64,42.9
TROY LOCK AND DAM NY,1991-11,0,0,21,0,72,2.99,0,40.2,47.5,33
TROY LOCK AND DAM NY,1992-03,8,0,9,3,62,1.11,3,31,39.9,22
TROY LOCK AND DAM NY,1992-04,0,0,26,0,78,2.69,0,44.9,54.9,35
TROY LOCK AND DAM NY,1992-09,0,0,36,0,87,3.61,0,62.9,73.8,51.9
TROY LOCK AND DAM NY,1992-10,0,0,30,0,74,3.23,0,47.3,56.9,37.6
TROY LOCK AND DAM NY,1992-11,0,0,20,0,63,3.05,0,39.2,45.8,32.6
TROY LOCK AND DAM NY,1992-12,5,0,2,2.1,47,2.28,4.3,29.9,36.6,23.2
TROY LOCK AND DAM NY,1993-01,13,0,4,5.5,58,1.91,5.8,27.4,34.9,19.9
TROY LOCK AND DAM NY,1993-03,7,0,-3,24,65,4.7,24,30.4,40.4,20.4
TROY LOCK AND DAM NY,1993-04,0,0,26,0,79,5.24,0,48.2,58.6,37.8
TROY LOCK AND DAM NY,1993-06,,,,0,,2.81,0,,,
TROY LOCK AND DAM NY,1993-07,0,7,56,0,98,4.6,0,74.2,84.9,63.5
TROY LOCK AND DAM NY,1993-08,0,3,49,0,94,1.36,0,72.6,83.4,61.8
TROY LOCK AND DAM NY,1993-09,0,2,36,0,91,4.56,0,62.1,72.1,52.1
TROY LOCK AND DAM NY,1993-10,0,0,28,0,79,3.31,0,49.5,59.7,39.2
TROY LOCK AND DAM NY,1994-01,25,0,-23,6.4,50,2.9,26.7,12.1,22.7,1.4
TROY LOCK AND DAM NY,1994-02,16,0,-14,6,59,1.93,15.5,18.4,29,7.8
TROY LOCK AND DAM NY,1994-03,5,0,1,9,63,4.46,15.2,32.2,40.5,23.9
TROY LOCK AND DAM NY,1994-04,0,0,27,0,85,3.74,0,48.1,59.5,36.6
TROY LOCK AND DAM NY,1994-06,0,3,48,0,96,2.47,0,71.1,81.2,60.9
TROY LOCK AND DAM NY,1994-07,0,6,57,0,94,3.35,0,75.3,85.3,65.3
TROY LOCK AND DAM NY,1994-08,0,0,48,0,88,7.61,0,68.7,78.2,59.3
TROY LOCK AND DAM NY,1994-10,0,0,31,0,76,0.52,0,51.1,62.9,39.3
TROY LOCK AND DAM NY,1994-12,3,0,8,0.8,55,2.61,1.5,32.7,41.4,24
TROY LOCK AND DAM NY,1995-01,9,0,5,1.3,65,2.64,2,30.9,38.1,23.7
TROY LOCK AND DAM NY,1995-03,3,0,10,4,65,1.93,4,38.9,49.6,28.1
TROY LOCK AND DAM NY,1995-05,0,0,34,0,82,1.16,0,58.3,69.1,47.5
TROY LOCK AND DAM NY,1995-06,0,4,46,0,96,2.14,0,69.8,82.4,57.2
TROY LOCK AND DAM NY,1995-07,0,10,54,0,101,3.94,0,76.4,87.4,65.4
TROY LOCK AND DAM NY,1995-08,0,6,50,0,94,3.78,0,72.2,84.9,59.4
TROY LOCK AND DAM NY,1995-09,0,1,36,0,92,3.26,0,60.7,73.4,48
TROY LOCK AND DAM NY,1995-10,0,0,33,0,82,7.63,0,55.7,67.1,44.3
TROY LOCK AND DAM NY,1995-11,1,0,15,1.7,65,4.19,2.7,37.3,44.5,30.1
TROY LOCK AND DAM NY,1996-03,7,0,5,10,68,1.76,13.4,31.3,41.6,21
TROY LOCK AND DAM NY,1996-06,0,0,46,0,87,5.3,0,70,79.3,60.6
TROY LOCK AND DAM NY,1996-07,0,0,56,0,87,7.31,0,71.3,80.8,61.8
TROY LOCK AND DAM NY,1996-09,0,0,41,0,88,4.65,0,64.7,73.8,55.6
TROY LOCK AND DAM NY,1996-10,0,0,30,0,74,2.29,0,51.1,61.8,40.4
TROY LOCK AND DAM NY,1996-11,3,0,10,1.1,73,2.85,2.9,36.5,44.3,28.6
TROY LOCK AND DAM NY,1996-12,3,0,15,2.5,61,3.65,6.5,35.3,40.9,29.7
TROY LOCK AND DAM NY,1997-01,17,0,-4,4.4,53,1.41,10.8,23,31.4,14.6
TROY LOCK AND DAM NY,1997-02,4,0,6,3,67,1.16,9.8,30.5,40.1,20.9
TROY LOCK AND DAM NY,1997-04,0,0,20,0,69,2.94,0,44.8,55.5,34.1
TROY LOCK AND DAM NY,1997-05,0,0,36,0,78,3.13,0,55,65.1,45
TROY LOCK AND DAM NY,1997-06,0,6,47,0,95,0.35,0,70.2,81.5,59
TROY LOCK AND DAM NY,1997-08,0,6,53,0,93,3.93,0,71.7,83.1,60.3
TROY LOCK AND DAM NY,1997-09,0,0,39,0,87,4.73,0,62.9,74.3,51.5
TROY LOCK AND DAM NY,1997-10,0,0,28,0,80,2.29,0,49.9,60.7,39.2
TROY LOCK AND DAM NY,1997-11,1,0,17,7,66,4.76,9.5,38.1,45.7,30.5
TROY LOCK AND DAM NY,1997-12,4,0,12,5,48,2.25,23.9,30.8,37.8,23.9
TROY LOCK AND DAM NY,1998-01,10,0,-1,3.1,57,3.47,10.6,28.6,35.8,21.3
TROY LOCK AND DAM NY,1998-02,1,0,6,3.6,51,1.66,3.8,33,41.5,24.5
TROY LOCK AND DAM NY,1998-03,3,0,8,2.5,84,1.49,2.9,38.6,48,29.2
TROY LOCK AND DAM NY,1998-05,0,0,40,0,89,3.42,0,64.7,76.2,53.2
TROY LOCK AND DAM NY,1998-06,0,2,44,0,90,7.85,0,68.4,76.8,60.1
TROY LOCK AND DAM NY,1998-10,0,0,37,0,78,4.49,0,52.6,61.8,43.5
TROY LOCK AND DAM NY,1998-12,2,0,7,2.5,65,0.93,5,36.1,44.6,27.6
TROY LOCK AND DAM NY,1999-01,15,0,-8,5,56,8.35,25,23.9,33.3,14.5
TROY LOCK AND DAM NY,1999-02,4,0,2,1,58,1.06,1.5,28.5,38.4,18.6
TROY LOCK AND DAM NY,1999-03,5,0,4,8,62,2.54,9.6,35.3,44.8,25.8
TROY LOCK AND DAM NY,1999-04,0,0,26,0,73,0.61,0,48,60.3,35.7
TROY LOCK AND DAM NY,1999-07,,,,0,,,0,,,
TROY LOCK AND DAM NY,1999-08,0,4,49,0,95,3.51,0,71.5,83,60
TROY LOCK AND DAM NY,1999-12,5,0,8,0,64,0.91,0,31.1,39.1,23.1
TROY LOCK AND DAM NY,2000-01,16,0,-8,7,63,1.97,20,21.1,31.5,10.6
TROY LOCK AND DAM NY,2000-03,1,0,12,1.1,71,3.06,1.5,40.1,51.6,28.7
TROY LOCK AND DAM NY,2000-04,0,0,26,3.5,84,3.69,3.5,48.8,62.2,35.5
TROY LOCK AND DAM NY,2000-05,0,2,37,0,92,5.08,0,60.1,71.7,48.4
TROY LOCK AND DAM NY,2000-06,0,2,48,0,92,6.45,0,67.3,78.2,56.4
TROY LOCK AND DAM NY,2000-07,0,0,50,0,87,3.89,0,69.5,79.3,59.6
TROY LOCK AND DAM NY,2000-08,0,1,48,0,90,5.57,0,70,79.7,60.3
TROY LOCK AND DAM NY,2000-10,0,0,30,0,79,2.65,0,51.8,62.8,40.9
TROY LOCK AND DAM NY,2000-11,1,0,12,0.1,64,1.9,0.1,39.8,47.3,32.3
TROY LOCK AND DAM NY,2000-12,20,0,-6,10.2,55,3.25,15.9,23,31.4,14.6
TROY LOCK AND DAM NY,2001-01,12,0,0,2,45,2.65,5.5,24,32,16
TROY LOCK AND DAM NY,2001-02,7,0,-2,8,53,2.08,12.2,28.5,36.9,20
TROY LOCK AND DAM NY,2001-03,7,0,,18,51,8.33,25,,37,
TROY LOCK AND DAM NY,2001-04,,,,0,,1.35,0,,,
TROY LOCK AND DAM NY,2001-06,0,4,41,0,94,5.68,0,69,79.3,58.6
TROY LOCK AND DAM NY,2001-07,0,3,51,0,96,3.96,0,70.5,81.8,59.2
TROY LOCK AND DAM NY,2001-08,0,6,51,0,98,2.87,0,74.9,86.6,63.3
TROY LOCK AND DAM NY,2001-11,0,0,24,0,73,1.75,0,45.5,55.3,35.8
TROY LOCK AND DAM NY,2001-12,0,0,18,6.5,66,2.98,6.5,36.2,44.6,27.8
TROY LOCK AND DAM NY,2002-01,5,0,7,15.5,56,3.13,18.5,32.3,39.8,24.9
TROY LOCK AND DAM NY,2002-05,0,0,32,0,82,5.02,0,55,66.3,43.7
TROY LOCK AND DAM NY,2002-07,,,,0,,,0,,,
TROY LOCK AND DAM NY,2002-09,0,3,43,0,93,3.87,0,66.4,77.6,55.2
TROY LOCK AND DAM NY,2002-10,0,0,23,0,84,4.68,0,49.8,59.2,40.4
TROY LOCK AND DAM NY,2002-11,2,0,19,2,72,4.25,3.1,39.2,46.3,32.1
TROY LOCK AND DAM NY,2003-01,25,0,-11,15.5,45,2.66,25.4,17.1,26,8.2
TROY LOCK AND DAM NY,2003-02,15,0,-5,8.5,50,2.5,8.5,20.5,30.5,10.5
TROY LOCK AND DAM NY,2003-03,5,0,-3,2.2,68,2.46,2.2,33.4,45.9,20.8
TROY LOCK AND DAM NY,2003-04,0,0,22,1.5,85,3.2,2.1,44.5,55,34
TROY LOCK AND DAM NY,2003-08,0,0,50,0,89,5.56,0,73.9,83.6,64.2
TROY LOCK AND DAM NY,2003-09,0,0,36,0,86,5.33,0,64.1,75.6,52.6
TROY LOCK AND DAM NY,2003-10,0,0,29,0,81,5.02,0,49.6,60,39.2
TROY LOCK AND DAM NY,2003-11,0,0,16,0,69,4.02,0,42.7,51.5,33.8
TROY LOCK AND DAM NY,2004-01,20,0,-17,5,47,1.17,13.7,16,25.4,6.6
TROY LOCK AND DAM NY,2004-03,3,0,14,6,72,1.91,12,37.4,47,27.8
TROY LOCK AND DAM NY,2004-04,0,0,19,0,88,3.47,0,47.3,57.8,36.8
TROY LOCK AND DAM NY,2004-07,0,0,51,0,89,8.68,0,71.1,81.6,60.8
TROY LOCK AND DAM NY,2004-08,,,,0,,8.96,0,,,
TROY LOCK AND DAM NY,2004-09,0,0,43,0,85,5.93,0,65.1,76.1,54.1
TROY LOCK AND DAM NY,2004-10,0,0,32,0,77,2.52,0,51.4,61.8,41
TROY LOCK AND DAM NY,2004-12,10,0,-3,3,58,2.4,5,28.8,37.5,20.1
TROY LOCK AND DAM NY,2005-01,16,0,-13,5.5,60,4.99,17.3,19.9,28.2,11.6
TROY LOCK AND DAM NY,2005-02,11,0,3,2.5,52,1.44,6.3,27.1,36.7,17.6
TROY LOCK AND DAM NY,2005-04,0,0,30,0,82,2.07,0,51.1,64.6,37.7
TROY LOCK AND DAM NY,2005-05,0,0,32,0,84,2.04,0,55.2,65.8,44.5
TROY LOCK AND DAM NY,2005-09,0,1,42,0,91,2.65,0,66.9,78.5,55.2
TROY LOCK AND DAM NY,2005-10,0,0,20,0,82,9.15,0,52.4,61.4,43.5
TROY LOCK AND DAM NY,2005-12,10,0,2,2,52,2.89,6.4,28.5,35.4,21.6
TROY LOCK AND DAM NY,2006-01,6,0,2,5.5,59,4.95,14.1,31.7,40.5,22.9
TROY LOCK AND DAM NY,2006-02,11,0,5,0.3,62,1.31,0.3,28.2,37.2,19.3
TROY LOCK AND DAM NY,2006-04,0,0,27,0,78,4.48,0,48.9,61,36.8
TROY LOCK AND DAM NY,2006-05,0,0,38,0,89,4.59,0,58.8,69.6,48
TROY LOCK AND DAM NY,2006-06,0,2,45,0,91,10.16,0,68.1,77.6,58.6
TROY LOCK AND DAM NY,2006-07,0,7,57,0,94,4.31,0,76,85.9,66.1
TROY LOCK AND DAM NY,2006-11,0,0,25,0,74,2.96,0,44.3,53.5,35.1
TROY LOCK AND DAM NY,2006-12,2,0,11,1,66,1.88,1,37.7,45,30.5
TROY LOCK AND DAM NY,2007-01,,,,0.7,,2.85,3.1,,,
TROY LOCK AND DAM NY,2007-02,19,0,0,17.9,47,2.74,25.2,19.8,28.4,11.3
TROY LOCK AND DAM NY,2007-03,4,0,-2,14,67,4.17,15,32.8,44.8,20.8
TROY LOCK AND DAM NY,2007-04,0,0,24,0,86,5.19,0,44.5,53.4,35.6
TROY LOCK AND DAM NY,2007-05,0,1,37,0,90,3.99,0,60.1,73.6,46.6
TROY LOCK AND DAM NY,2007-06,0,4,43,0,95,4.91,0,70,81.7,58.2
TROY LOCK AND DAM NY,2007-07,,,,0,,,0,,,
TROY LOCK AND DAM NY,2007-09,,,,0,,1.95,0,,,
TROY LOCK AND DAM NY,2007-10,0,0,30,0,86,7.46,0,58,68.4,47.5
TROY LOCK AND DAM NY,2007-11,1,0,17,0,66,3.41,0,38.7,47.6,29.7
TROY LOCK AND DAM NY,2007-12,13,0,8,11,54,3.69,17.8,28.3,34.9,21.8
TROY LOCK AND DAM NY,2008-01,8,0,-9,2.1,62,1.02,2.4,28.8,37.6,20
TROY LOCK AND DAM NY,2008-02,12,0,4,2.5,55,5.13,7.2,27.1,34.6,19.6
TROY LOCK AND DAM NY,2008-03,2,0,3,2.3,52,6.46,3.4,33.2,42.4,23.9
TROY LOCK AND DAM NY,2008-04,0,0,25,0,86,3.18,0,52.1,65.1,39.2
TROY LOCK AND DAM NY,2008-08,0,0,40,0,87,4.61,0,68.8,79.8,57.8
TROY LOCK AND DAM NY,2008-11,2,0,18,0,69,2.04,0,41.3,49.1,33.5
TROY LOCK AND DAM NY,2009-01,21,0,-4,5.8,44,2.49,18.4,19.8,29.2,10.4
TROY LOCK AND DAM NY,2009-02,8,0,4,0,54,0.76,0,27.8,37,18.6
TROY LOCK AND DAM NY,2009-03,3,0,8,3,68,2.85,3,36.6,46.8,26.4
TROY LOCK AND DAM NY,2009-04,0,3,29,0,92,1.83,0,49.4,60.9,37.9
TROY LOCK AND DAM NY,2009-05,0,1,35,0,90,4.58,0,59,70.6,47.4
TROY LOCK AND DAM NY,2009-06,0,0,39,0,88,4.71,0,66.6,76.3,56.9
TROY LOCK AND DAM NY,2009-07,0,0,53,0,88,8.44,0,70.4,80.7,60.1
TROY LOCK AND DAM NY,2009-09,0,0,40,0,83,1.97,0,62.2,73.8,50.6
TROY LOCK AND DAM NY,2009-10,0,0,28,,73,3.45,,48.3,57.4,39.1
TROY LOCK AND DAM NY,2009-11,,,,0,,3.18,0,,,
TROY LOCK AND DAM NY,2009-12,15,0,4,,62,,,28.2,34.9,21.6
TROY LOCK AND DAM NY,2010-01,15,0,-8,2,57,1.66,9.2,25.4,32.6,18.2
TROY LOCK AND DAM NY,2010-03,0,0,17,0,69,2.49,0,42.1,51.5,32.7
TROY LOCK AND DAM NY,2010-04,0,0,34,0,86,1.77,0,52.6,64.9,40.2
TROY LOCK AND DAM NY,2010-05,0,2,,,97,,,,74,
TROY LOCK AND DAM NY,2010-06,0,0,49,0,89,5.4,0,69,79,59
TROY LOCK AND DAM NY,2010-08,0,4,49,0,93,1.81,0,72.3,83.1,61.5
TROY LOCK AND DAM NY,2010-10,0,0,35,0,77,10.43,0,51.5,62,40.9
TROY LOCK AND DAM NY,2010-11,0,0,24,0,64,3.15,0,40.9,49.2,32.7
TROY LOCK AND DAM NY,2011-01,23,0,-14,,52,,,22,29.3,14.7
TROY LOCK AND DAM NY,2011-02,13,0,0,,62,,,24.2,34.6,13.7
TROY LOCK AND DAM NY,2011-03,2,0,,,62,,,,44,
TROY LOCK AND DAM NY,2011-04,0,0,26,,85,,,48.1,58.7,37.5
TROY LOCK AND DAM NY,2011-05,0,0,37,,88,,,61.7,72,51.4
TROY LOCK AND DAM NY,2011-07,0,0,,,89,,,,82,
TROY LOCK AND DAM NY,2011-09,0,0,41,,85,7.8,,66.6,75.4,57.7
TROY LOCK AND DAM NY,2011-11,0,0,24,,71,0.43,,45.3,56.1,34.5
TROY LOCK AND DAM NY,2011-12,3,0,15,,58,6.2,,35.4,43.1,27.6
TROY LOCK AND DAM NY,2012-02,1,0,10,0.5,58,1,0.5,33.4,43,23.8
TROY LOCK AND DAM NY,2012-03,1,0,16,,81,1.49,,45.1,55.4,34.7
TROY LOCK AND DAM NY,2012-05,0,1,32,,92,6.3,,63.7,74.6,52.8
TROY LOCK AND DAM NY,2012-06,0,3,51,,95,2.27,,68.6,78.5,58.7
TROY LOCK AND DAM NY,2012-07,0,11,57,,94,4.17,,76,87.4,64.6
TROY LOCK AND DAM NY,2012-12,7,0,14,5,58,3.9,6,33.7,40.1,27.4
TROY LOCK AND DAM NY,2013-01,11,0,-3,2,58,1.46,4.8,26.7,35.2,18.1
TROY LOCK AND DAM NY,2013-02,10,0,-6,6,54,1.17,7.7,27.7,36.1,19.2
TROY LOCK AND DAM NY,2013-04,0,0,26,0.3,76,2.53,0.3,46.4,57.5,35.3
TROY LOCK AND DAM NY,2013-05,0,2,36,0,90,5.6,0,61.6,73.4,49.8
TROY LOCK AND DAM NY,2013-06,0,6,49,,92,7.3,,69.5,80,59
TROY LOCK AND DAM NY,2013-07,0,9,53,,97,4.04,,76.9,86.5,67.2
TROY LOCK AND DAM NY,2013-08,0,0,52,,89,2.81,,70.5,81.4,59.6
TROY LOCK AND DAM NY,2013-11,3,0,13,,70,2.23,,37.9,47.2,28.5
TROY LOCK AND DAM NY,2014-01,18,0,-9,6.8,58,2.16,12.7,19.8,29.2,10.4
TROY LOCK AND DAM NY,2014-02,20,0,-7,12,53,4.08,24.6,22.2,31.2,13.4
TROY LOCK AND DAM NY,2014-05,0,0,37,,86,2.44,,59.8,71.3,48.4
TROY LOCK AND DAM NY,2014-06,0,1,42,,91,5.62,,68.2,80.1,56.3
TROY LOCK AND DAM NY,2014-08,0,0,52,,87,2.74,,70.1,80.7,59.4
TROY LOCK AND DAM NY,2014-09,0,2,41,,90,0.87,,64.4,76.3,52.4
TROY LOCK AND DAM NY,2014-10,0,0,34,0,80,3.6,0,55.4,64.4,46.4
TROY LOCK AND DAM NY,2014-11,1,0,19,4,71,2.07,5,38.6,47,30.2
TROY LOCK AND DAM NY,2014-12,8,0,13,3.7,60,5,5.8,32.8,38.5,27.2
TROY LOCK AND DAM NY,2015-01,19,0,-8,5.4,45,2.26,13.3,20.1,29.2,11.1
TROY LOCK AND DAM NY,2015-02,26,0,-9,6.4,37,1.63,20.7,11.2,22.8,-0.4
TROY LOCK AND DAM NY,2015-03,9,0,-1,2,51,0.96,4,28.7,38.3,19.1
TROY LOCK AND DAM NY,2015-04,,,,,,1.95,,,,
TROY LOCK AND DAM NY,2015-06,0,0,44,,89,5.81,,67.4,77.2,57.5
TROY LOCK AND DAM NY,2015-07,0,4,53,0,94,4.41,0,73.5,84.6,62.4
TROY LOCK AND DAM NY,2015-08,0,4,56,0,93,4.15,0,73.6,84.9,62.4
TROY LOCK AND DAM NY,2015-10,0,0,26,0,78,3.93,0,51.5,61.8,41.3
TROY LOCK AND DAM NY,2016-02,4,0,-14,2,62,4.22,3.2,33.5,44.1,22.9
TROY LOCK AND DAM NY,2016-03,1,0,19,0,80,1.26,0,42.8,53.2,32.4
TROY LOCK AND DAM NY,2016-05,0,2,37,0,95,2.83,0,60.1,71.5,48.8
TROY LOCK AND DAM NY,2016-07,,,,0,,3.69,0,,,
TROY LOCK AND DAM NY,2016-08,0,3,54,0,96,5.83,0,76,86.1,66
TROY LOCK AND DAM NY,2016-09,0,2,43,0,90,2.12,0,69.6,81.2,58
TROY LOCK AND DAM NY,2016-10,0,0,33,0,87,2.43,0,56.6,66.2,46.9
TROY LOCK AND DAM NY,2016-11,0,0,21,0,67,3.72,0,42.6,52.1,33
TROY LOCK AND DAM NY,2016-12,5,0,4,2.4,53,3.75,4.7,33.5,41.1,26
TROY LOCK AND DAM NY,2017-02,5,0,9,9.5,75,2.9,20.3,33.3,42.3,24.2
TROY LOCK AND DAM NY,2017-03,4,0,9,,69,2.65,,32.7,42.6,22.7
TROY LOCK AND DAM NY,2017-04,0,0,32,,88,3.93,,52.8,63.1,42.6
TROY LOCK AND DAM NY,2017-05,0,2,38,0,95,4.91,0,58.5,68.6,48.5
TROY LOCK AND DAM NY,2017-07,0,0,52,0,89,4.21,0,72.8,82.8,62.7
TROY LOCK AND DAM NY,2017-08,0,1,51,0,92,1.87,0,72,82.6,61.3
TROY LOCK AND DAM NY,2017-09,0,4,44,0,93,1.71,0,68,79.6,56.4
