STATION NAME,DATE,DX32,DX90,EMNT,EMSN,EMXT,PRCP,SNOW,TAVG,TMAX,TMIN
TROY LOCK AND DAM NY,1964-11,0,0,20,0,69,1.36,0,43,52.8,33.2
TROY LOCK AND DAM NY,1965-01,16,0,-8,8.5,49,1.46,16.5,20.3,29.9,10.7
TROY LOCK AND DAM NY,1965-02,14,0,-4,1,52,1.62,2.9,22.6,32.3,12.9
TROY LOCK AND DAM NY,1965-03,4,0,11,4,56,1.23,8,32.5,41.2,23.8
TROY LOCK AND DAM NY,1965-04,0,0,15,,65,2.54,,42.4,52.8,32
TROY LOCK AND DAM NY,1965-05,0,0,39,0,88,1.32,0,61.4,74.3,48.6
TROY LOCK AND DAM NY,1965-06,0,3,41,0,93,2.78,0,66.5,78,55.1
TROY LOCK AND DAM NY,1965-08,0,5,40,0,93,4.45,0,70.9,81.4,60.3
TROY LOCK AND DAM NY,1965-10,0,0,26,0,79,2.51,0,50,60.4,39.6
TROY LOCK AND DAM NY,1965-11,0,0,22,0,66,2.28,0,39,46.9,31.1
TROY LOCK AND DAM NY,1965-12,5,0,7,1.3,51,1.06,2.8,31.7,37.8,25.6
TROY LOCK AND DAM NY,1966-01,17,0,,6.5,59,1.48,20.3,,30.7,
TROY LOCK AND DAM NY,1966-02,14,0,-7,7,53,2.07,17.5,23.8,33.7,13.9
TROY LOCK AND DAM NY,1966-03,2,0,12,6,64,3.18,6.2,34,43.2,24.8
TROY LOCK AND DAM NY,1966-04,0,0,27,0,68,1.34,0,44.2,53.4,35.1
TROY LOCK AND DAM NY,1966-06,0,2,43,0,93,3.17,0,68.3,80.1,56.5
TROY LOCK AND DAM NY,1966-07,0,5,50,0,96,5.85,0,73.4,85.1,61.8
TROY LOCK AND DAM NY,1966-08,0,2,50,0,91,1.34,0,70.8,82.4,59.3
TROY LOCK AND DAM NY,1966-09,0,0,37,0,86,5.64,0,59.8,70.2,49.4
TROY LOCK AND DAM NY,1966-10,0,0,25,0,77,2.66,0,49.5,61,37.9
TROY LOCK AND DAM NY,1966-11,0,0,19,0,70,1.86,0,43.5,52.1,34.9
TROY LOCK AND DAM NY,1967-02,13,0,-14,3.5,53,1.58,14.3,18.5,29.2,7.9
TROY LOCK AND DAM NY,1967-03,6,0,-11,7,59,2.2,23.1,28.9,39,18.8
TROY LOCK AND DAM NY,1967-04,0,0,22,0,71,3.8,0,44.5,55.3,33.6
TROY LOCK AND DAM NY,1967-05,0,0,25,0,80,3.4,0,50.8,61.4,40.1
TROY LOCK AND DAM NY,1967-06,0,5,40,0,95,3.2,0,71.2,82.3,60.2
TROY LOCK AND DAM NY,1967-08,0,0,50,0,88,3.24,0,70.6,80.5,60.7
TROY LOCK AND DAM NY,1967-09,0,0,38,0,84,2.15,0,61.7,74,49.4
TROY LOCK AND DAM NY,1967-11,2,0,17,2,64,2.76,5,36.8,44.3,29.4
TROY LOCK AND DAM NY,1968-01,20,0,-22,3,43,1.19,8.9,15,25,5
TROY LOCK AND DAM NY,1968-03,3,0,8,4,74,2.95,5.3,36.5,46.3,26.8
TROY LOCK AND DAM NY,1968-04,0,0,20,0,84,3.35,0,51.4,63.6,39.2
TROY LOCK AND DAM NY,1968-07,0,6,50,0,96,2.48,0,73.9,85.1,62.8
TROY LOCK AND DAM NY,1968-08,0,4,47,0,93,1.86,0,69.6,81,58.2
TROY LOCK AND DAM NY,1968-10,0,0,33,0,83,2.25,0,54,64.5,43.6
TROY LOCK AND DAM NY,1968-12,12,0,-10,9,49,2.14,16,24.8,32.4,17.2
TROY LOCK AND DAM NY,1969-01,19,0,-2,3.5,42,1.8,6.9,21.6,30.4,12.7
TROY LOCK AND DAM NY,1969-02,11,0,0,8,41,1.33,22.3,24.7,33.7,15.7
TROY LOCK AND DAM NY,1969-04,0,0,16,0,85,3.91,0,49.7,61,38.5
TROY LOCK AND DAM NY,1969-05,0,0,33,0,87,3.67,0,58.4,69.6,47.3
TROY LOCK AND DAM NY,1969-06,0,2,47,0,92,4.32,0,68.4,79.2,57.7
TROY LOCK AND DAM NY,1969-07,0,3,49,0,92,4.97,0,72,81.6,62.3
TROY LOCK AND DAM NY,1969-09,0,2,40,0,90,2.42,0,64.3,74.6,54.1
TROY LOCK AND DAM NY,1969-10,0,0,24,0.5,80,1.8,0.5,51.6,63,40.2
TROY LOCK AND DAM NY,1969-12,17,0,-10,10.5,52,2.46,48.2,24.4,31.9,16.9
TROY LOCK AND DAM NY,1970-01,27,0,-16,1.8,44,0.54,8.2,11.9,22.7,1.2
TROY LOCK AND DAM NY,1970-03,3,0,12,3.3,56,1.9,8.3,32.3,40.2,24.5
TROY LOCK AND DAM NY,1970-04,0,0,24,0,86,3.12,0,48.1,58.3,38
TROY LOCK AND DAM NY,1970-05,0,0,35,0,86,2.3,0,60.4,70.8,50
TROY LOCK AND DAM NY,1970-06,0,2,45,0,90,5.19,0,68.2,78.6,57.7
TROY LOCK AND DAM NY,1970-08,0,9,52,0,94,3.23,0,73.3,85.4,61.2
TROY LOCK AND DAM NY,1970-09,0,1,43,0,91,3.71,0,64.8,75,54.6
TROY LOCK AND DAM NY,1970-10,0,0,28,0,78,3.44,0,54.3,64.1,44.4
TROY LOCK AND DAM NY,1970-11,0,0,18,0,65,1.7,0,43.4,51,35.9
TROY LOCK AND DAM NY,1970-12,18,0,5,7.5,64,2.3,36.3,25.6,33,18.1
TROY LOCK AND DAM NY,1971-01,17,0,-18,3.7,44,1.36,12.8,16.4,27.4,5.4
TROY LOCK AND DAM NY,1971-02,9,0,-6,11.7,54,2.85,16.9,26,34.5,17.5
TROY LOCK AND DAM NY,1971-05,0,0,37,0,87,4.59,0,56.7,67,46.3
TROY LOCK AND DAM NY,1971-06,0,0,44,0,88,3.03,0,69.3,81,57.6
TROY LOCK AND DAM NY,1971-09,0,0,42,0,89,1.81,0,66.5,76.5,56.6
TROY LOCK AND DAM NY,1971-11,3,0,13,14,75,3.65,22.5,39,46.1,31.9
TROY LOCK AND DAM NY,1971-12,6,0,10,5,55,2.51,7,32.3,39.9,24.7
TROY LOCK AND DAM NY,1972-01,14,0,-2,2,55,0.89,7.2,25.6,34.6,16.7
TROY LOCK AND DAM NY,1972-02,15,0,-10,9.5,51,2.31,22.7,22.3,31.9,12.7
TROY LOCK AND DAM NY,1972-03,5,0,5,10,62,3.65,11.5,31.9,40.2,23.6
TROY LOCK AND DAM NY,1972-04,0,0,20,4,78,3.59,4,42.2,51.1,33.3
TROY LOCK AND DAM NY,1972-06,0,0,44,0,84,6.74,0,65.4,73.7,57.1
TROY LOCK AND DAM NY,1972-07,0,9,51,0,94,6.48,0,73.3,83.1,63.4
TROY LOCK AND DAM NY,1972-08,0,0,47,0,89,1.26,0,69.7,79.8,59.6
